"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30018","Авторизованный пользователь может просмотреть список статей v2","chromium","Wed Jun 18 09:04:43 GMT 2025","broken","Wed Jun 18 09:05:13 GMT 2025","","fixtures.spec.js","",""
"","719","Авторизованный пользователь может просмотреть список статей","chromium","Wed Jun 18 09:00:25 GMT 2025","passed","Wed Jun 18 09:00:26 GMT 2025","","advanced.spec.js","",""
"","103","test","chromium","Wed Jun 18 09:02:05 GMT 2025","failed","Wed Jun 18 09:02:05 GMT 2025","","demo.spec.js","",""
"","21","Получить список челленджей","chromium","Wed Jun 18 09:00:28 GMT 2025","passed","Wed Jun 18 09:00:28 GMT 2025","Challenge","apiV1.spec.js","",""
"","30017","Авторизованный пользователь может просмотреть список статей v3","chromium","Wed Jun 18 09:06:16 GMT 2025","broken","Wed Jun 18 09:06:46 GMT 2025","","fixtures.spec.js","",""
"","26","Получить список челленджей","chromium","Wed Jun 18 09:00:28 GMT 2025","passed","Wed Jun 18 09:00:28 GMT 2025","Это тесты api","apiV2.spec.js","",""
"","549","Авторизованный пользователь может просмотреть список статей","chromium","Wed Jun 18 09:08:20 GMT 2025","passed","Wed Jun 18 09:08:21 GMT 2025","","reports.spec.js","",""
"","560","Авторизованный пользователь может просмотреть список статей","chromium","Wed Jun 18 09:02:02 GMT 2025","passed","Wed Jun 18 09:02:03 GMT 2025","","class.spec.js","",""
"","523","авторизация через логин и пароль","chromium","Wed Jun 18 09:06:47 GMT 2025","passed","Wed Jun 18 09:06:48 GMT 2025","","function.spec.js","",""
"","98","test by ID","chromium","Wed Jun 18 09:02:07 GMT 2025","failed","Wed Jun 18 09:02:07 GMT 2025","","demo.spec.js","",""
"","892","авторизованый пользователь может посмотреть список статей","chromium","Wed Jun 18 09:06:46 GMT 2025","passed","Wed Jun 18 09:06:47 GMT 2025","","function.spec.js","",""
"","30024","Демонстрация работы filter","chromium","Wed Jun 18 09:01:32 GMT 2025","broken","Wed Jun 18 09:02:02 GMT 2025","","arraysObjects.spec.js","",""
"","0","test Class","chromium","Wed Jun 18 09:02:05 GMT 2025","skipped","Wed Jun 18 09:02:05 GMT 2025","","demo.spec.js","",""
"","492","авторизация через логин и пароль2","chromium","Wed Jun 18 09:00:28 GMT 2025","passed","Wed Jun 18 09:00:29 GMT 2025","","arraysObjects.spec.js","",""
"","30017","Авторизованный пользователь может просмотреть список статей","chromium","Wed Jun 18 09:03:10 GMT 2025","broken","Wed Jun 18 09:03:40 GMT 2025","","fixtures.spec.js","",""
"","30015","Авторизованный пользователь может просмотреть список статей","chromium","Wed Jun 18 09:07:50 GMT 2025","broken","Wed Jun 18 09:08:20 GMT 2025","","patterns.spec.js","",""
"","0","test form","chromium","Wed Jun 18 09:02:08 GMT 2025","skipped","Wed Jun 18 09:02:08 GMT 2025","","demo.spec.js","",""
